State, Percent Cigarette Smokers CDC 2006 Data (except AZ and WI)
Alabama,400
Arizona,440
Arkansas,330
California,890
Colorado,440
Connecticut,850
Delaware,860
Florida,510
Georgia,650
Wisconsin,540
Idaho,260
Illinois,800
Indiana,720
Iowa,340
Kansas,360
Kentucky,540
Louisiana,590
Maine,240
Maryland,870
Massachusetts,890
Michigan,640
Minnesota,660
Mississippi,320
Missouri,460
Montana,180
Nebraska,390
Nevada,340
New Hampshire,470
New Jersey,1400
New Mexico,230
New York,1900
North Carolina,480
North Dakota,230
Ohio,730
Oklahoma,330
Oregon,520
Pennsylvania,860
Rhode Island,670
South Carolina,390
South Dakota,190
Tennessee,520
Texas,550
Utah,500
Vermont,270
Virginia,620
Washington,490
West Virginia,560
Wyoming,140
